LEVEL 0
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,1,1,1,1,0,1,0,0,1,1,0,1,1,4
4,1,1,1,1,0,0,0,1,0,0,0,1,0,4
4,1,1,1,1,1,0,1,1,1,1,0,1,0,4
4,1,0,1,0,1,0,0,1,0,0,0,0,0,4
4,0,0,1,0,0,1,6,0,1,1,0,1,1,4
4,0,1,1,1,0,1,0,1,0,1,0,0,0,4
4,0,0,7,0,0,0,0,0,0,0,0,1,1,4
4,1,0,5,1,0,1,0,1,1,1,0,0,1,4
4,0,1,0,0,0,2,1,0,0,0,7,1,0,4
4,0,0,1,1,0,0,0,0,2,1,0,0,0,4
4,1,0,0,0,0,1,6,1,0,0,0,1,0,4
4,0,0,1,1,0,0,1,6,0,1,1,1,1,4
4,0,1,0,0,0,1,0,0,1,0,1,0,1,4
4,0,0,7,1,0,1,0,1,1,0,1,0,0,4
4,0,1,0,0,0,0,0,0,0,0,0,0,2,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
LEVEL 1
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,0,0,0,7,0,1,0,0,0,1,0,2,1,4
4,1,1,0,1,0,0,2,0,1,0,0,0,0,4
4,1,0,0,0,1,0,0,0,0,0,1,1,1,4
4,7,1,1,0,0,0,1,0,1,0,0,0,1,4
4,1,1,6,0,1,1,0,1,0,0,1,1,0,4
4,0,1,1,1,0,0,0,0,1,0,0,1,0,4
4,0,0,1,0,1,0,1,0,6,5,1,1,0,4
4,0,1,1,0,1,1,0,0,1,0,0,0,0,4
4,0,0,0,0,0,0,0,1,0,0,1,0,1,4
4,0,1,1,1,1,1,0,1,0,1,0,0,7,4
4,0,1,0,1,0,1,1,0,0,1,1,0,0,4
4,0,1,0,1,0,1,0,1,1,0,1,0,1,4
4,1,0,0,0,0,6,0,0,0,0,0,0,0,4
4,1,1,1,1,0,1,1,0,1,1,1,0,2,4
4,1,1,1,1,1,0,0,0,1,0,0,0,0,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
LEVEL 2
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,1,0,0,0,0,1,1,1,1,0,1,0,0,4
4,0,0,1,0,1,0,1,0,0,0,0,1,0,4
4,0,1,0,1,1,0,1,1,1,0,1,0,0,4
4,0,5,0,0,0,0,0,1,0,0,0,0,1,4
4,1,0,1,6,1,1,6,0,1,0,1,1,0,4
4,0,0,0,1,0,0,1,0,0,0,0,0,0,4
4,1,0,1,0,1,0,1,0,1,1,1,0,1,4
4,0,0,1,0,0,0,1,0,0,0,0,1,1,4
4,1,0,0,0,1,0,1,0,1,0,1,0,1,4
4,7,0,1,2,7,0,0,2,0,0,0,0,0,4
4,0,0,0,0,0,1,1,1,1,0,2,1,1,4
4,1,0,1,0,1,1,1,1,1,0,0,0,0,4
4,0,0,0,7,1,1,1,1,0,1,0,1,0,4
4,0,1,6,0,0,1,1,0,0,0,0,0,1,4
4,1,0,0,1,1,1,0,0,1,1,0,1,1,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
LEVEL 3
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,0,0,0,0,1,0,0,1,0,1,0,1,0,4
4,1,0,1,1,0,0,1,1,0,0,0,1,0,4
4,1,0,0,0,0,2,0,0,0,1,0,0,0,4
4,0,1,0,1,0,0,0,1,1,0,0,1,0,4
4,0,0,0,1,0,1,0,0,0,1,0,0,1,4
4,7,0,1,0,0,6,1,0,1,1,1,0,1,4
4,1,0,1,0,1,1,0,0,1,1,0,0,0,4
4,5,0,0,1,1,0,2,0,0,1,1,1,1,4
4,1,0,1,1,1,0,0,1,0,0,0,0,0,4
4,6,0,0,1,0,0,1,1,0,1,0,1,1,4
4,1,1,0,0,0,1,0,0,0,0,1,1,7,4
4,0,0,0,1,1,1,0,1,0,1,0,1,0,4
4,1,0,1,1,0,2,1,0,6,0,0,0,0,4
4,0,0,1,0,0,0,0,0,1,0,1,1,0,4
4,0,1,7,1,0,1,0,1,1,1,1,1,1,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
LEVEL 4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,0,1,0,1,0,2,0,1,1,0,1,0,1,4
4,0,0,0,0,0,0,0,0,0,0,0,0,5,4
4,0,1,0,1,0,1,0,7,0,1,1,0,1,4
4,0,1,0,6,1,0,0,1,6,1,0,7,0,4
4,0,1,0,1,1,1,0,1,6,0,0,0,0,4
4,0,1,0,0,1,0,0,0,1,0,1,1,0,4
4,1,1,0,1,0,0,1,1,0,0,0,0,1,4
4,0,0,0,0,1,0,1,0,0,1,0,1,1,4
4,0,1,0,1,0,0,0,1,0,0,1,1,1,4
4,0,1,0,0,1,0,1,1,0,2,1,1,1,4
4,0,1,1,1,0,0,0,0,1,1,0,1,7,4
4,0,0,0,0,1,0,1,0,0,0,0,0,1,4
4,0,1,0,1,0,0,0,1,1,1,0,1,1,4
4,0,0,1,0,0,1,0,0,0,1,0,1,1,4
4,1,1,0,0,1,0,0,1,1,1,0,1,2,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
